日期,时间段,天气状况,气温,风力风向
2011/1/2,0,小雪,0.0,旋转风 微风
2011/1/2,1,阴,-6.0,无持续风向 微风
2011/1/3,0,阴,0.0,旋转风 微风
2011/1/3,1,多云,-5.0,无持续风向 微风
2011/1/4,0,阴,0.0,旋转风 微风
2011/1/4,1,阴,-5.0,无持续风向 微风
2011/1/5,0,雾,0.0,旋转风 微风
2011/1/5,1,多云,-6.0,无持续风向 微风
2011/1/6,0,阴,-1.0,旋转风 微风
2011/1/6,1,阴,-6.0,旋转风 微风
2011/1/7,0,多云,1.0,旋转风 微风
2011/1/7,1,多云,-5.0,无持续风向 微风
2011/1/8,0,多云,0.0,旋转风 微风
2011/1/8,1,多云,-6.0,无持续风向 微风
2011/1/9,0,阴,1.0,旋转风 微风
2011/1/9,1,多云,-4.0,无持续风向 微风
2011/1/10,0,多云,1.0,旋转风 微风
2011/1/10,1,晴,-5.0,无持续风向 微风
2011/1/11,0,晴,1.0,旋转风 微风
2011/1/11,1,多云,-4.0,无持续风向 微风
2011/1/12,0,多云,4.0,旋转风 微风
2011/1/12,1,多云,-4.0,无持续风向 微风
2011/1/13,0,多云,2.0,旋转风 微风
2011/1/13,1,多云,-5.0,北风 3-4级
2011/1/14,0,多云,3.0,旋转风 微风
2011/1/14,1,晴,-6.0,无持续风向 微风
2011/1/15,0,晴,1.0,旋转风 微风
2011/1/15,1,多云,-6.0,无持续风向 微风
2011/1/16,0,阴,3.0,旋转风 微风
2011/1/16,1,阴,-6.0,无持续风向 微风
2011/1/17,0,阵雪,0.0,旋转风 微风
2011/1/17,1,阴,-5.0,无持续风向 微风
2011/1/18,0,阴,0.0,旋转风 微风
2011/1/18,1,阴,-5.0,无持续风向 微风
2011/1/19,0,阴,0.0,旋转风 微风
2011/1/19,1,阴,-4.0,无持续风向 微风
2011/1/20,0,阴,2.0,旋转风 微风
2011/1/20,1,多云,-4.0,旋转风 微风
2011/1/21,0,多云,4.0,旋转风 微风
2011/1/21,1,多云,-4.0,旋转风 微风
2011/1/22,0,多云,2.0,旋转风 微风
2011/1/22,1,晴,-5.0,旋转风 微风
2011/1/23,0,多云,3.0,旋转风 微风
2011/1/23,1,多云,-5.0,无持续风向 微风
2011/1/24,0,晴,4.0,旋转风 微风
2011/1/24,1,多云,-5.0,无持续风向 微风
2011/1/25,0,阴,2.0,旋转风 微风
2011/1/25,1,阴,-5.0,无持续风向 微风
2011/1/26,0,小雪,2.0,旋转风 微风
2011/1/26,1,中雪,-3.0,无持续风向 微风
2011/1/27,0,小到中雪,0.0,旋转风 微风
2011/1/27,1,小雪,-4.0,无持续风向 微风
2011/1/28,0,阴,0.0,旋转风 微风
2011/1/28,1,多云,-5.0,无持续风向 微风
2011/1/29,0,晴,3.0,旋转风 微风
2011/1/29,1,晴,-6.0,无持续风向 微风
2011/1/30,0,晴,3.0,旋转风 微风
2011/1/30,1,多云,-5.0,无持续风向 微风
2011/1/31,0,晴,4.0,旋转风 微风
2011/1/31,1,晴,-5.0,旋转风 微风
2011/2/1,0,晴,5.0,旋转风 微风
2011/2/1,1,晴,-4.0,无持续风向 微风
2011/2/2,0,多云,9.0,旋转风 微风
2011/2/2,1,多云,-3.0,无持续风向 微风
