SO2,NO2,PM10,CO,O31小时,O38小时,PM2.5
23.0,79.0,140.0,42.0,107.0,116.0,133.0
26.0,88.0,167.0,46.0,95.0,99.0,169.0
80.1789932684652,130.33543469430725,154.0,77.0,59.0,78.0,195.0
24.0,82.0,133.0,79.0,40.0,44.0,200.0
13.0,45.0,125.0,71.0,9.0,9.0,220.0
21.0,40.0,98.0,67.0,26.0,32.0,168.0
15.0,37.0,70.0,50.0,22.0,26.0,88.0
8.0,34.0,87.0,71.0,23.0,33.0,125.0
31.0,40.0,318.0,93.0,39.0,52.0,200.0
42.0,52.0,155.0,99.0,107.0,115.0,170.0
54.0,45.0,98.0,76.0,64.0,79.0,92.0
76.0,52.0,106.0,93.0,49.0,78.0,85.0
62.0,47.0,88.0,82.0,49.0,72.0,64.0
34.0,62.0,107.0,89.0,41.0,52.0,105.0
56.0,125.30747604905358,110.0,101.0,44.0,62.0,108.0
83.0,167.0,119.0,102.0,41.0,57.0,134.0
37.0,99.09031063103896,108.0,89.0,38.0,45.4940385211059,113.0
19.0,99.64933642423857,90.0,79.0,42.0,65.0,85.0
36.0,165.0,159.0,87.0,35.0,55.0,112.0
65.0,155.0,125.0,96.0,55.77271697797432,66.72614695968058,147.0
40.0,97.0,96.0,77.0,37.79160105859716,45.24312009603536,93.0
30.0,82.16330202440048,109.0,68.0,30.0,40.0,89.0
47.0,59.0,127.0,83.0,24.0,27.0,158.0
62.0,79.0,134.0,91.0,54.0,68.0,179.0
81.0,64.0,126.0,82.0,15.0,21.0,138.0
54.0,92.0,191.0,99.0,50.0,76.0,229.0
46.0,59.0,147.0,87.0,41.0,44.0,237.0
65.0,90.0,176.0,89.0,41.0,52.0,235.0
54.0,65.0,146.0,80.0,30.0,40.0,198.0
57.0,115.94241124248401,143.0,101.0,40.0,50.0,150.0
52.0,94.0,140.0,99.0,37.0,44.0,148.0
44.0,94.6233675640305,105.0,78.0,40.0,50.0,145.0
56.0,62.0,115.0,71.0,13.0,27.752822578601975,133.0
43.0,92.23082585761453,146.0,63.0,36.0,48.0,115.0
58.0,85.0,166.0,83.0,46.0,56.0,208.0
58.0,101.0,143.0,85.0,32.0,38.0,208.0
52.0,70.0,136.0,71.0,23.0,28.0,173.0
42.0,53.0,148.0,59.0,32.0,44.0,114.0
57.0,104.65288355213544,175.0,98.0,32.0,34.0,163.0
55.0,99.2405737452025,153.0,70.0,35.0,42.0,108.0
63.0,106.98260868367187,139.0,64.0,45.0,65.0,158.0
66.0,63.871336809366746,166.0,75.0,15.0,18.0,280.0
67.0,75.0,149.0,62.0,26.0,34.0,229.0
61.0,65.01373356252938,118.0,48.0,22.0,27.0,166.0
68.0,83.17718055623364,500.0,59.0,15.0,19.0,364.0
60.0,90.80488935729025,500.0,50.0,19.0,21.0,268.0
67.0,62.333968552445825,107.0,33.0,18.0,22.0,105.0
45.0,88.01484492447203,364.0,24.0,27.0,37.0,112.0
50.0,98.0,500.0,48.0,23.0,32.0,309.0
