纬度,经度,SO2,NO2,PM10,污染程度,日期,时间段,气温,风向编码,风力编码,降水强度,天气_多云,天气_晴,天气_阴,天气_雨,天气_雪,天气_雾霾沙尘
34.259781,108.856987,35,15,79,1,2011/1/2,0,0,9,0,1,0,0,0,0,1,0
34.259781,108.856987,35,15,79,1,2011/1/2,1,-6,8,0,0,0,0,1,0,0,0
34.261593,108.98996,36,22,90,1,2011/1/2,0,0,9,0,1,0,0,0,0,1,0
34.261593,108.98996,36,22,90,1,2011/1/2,1,-6,8,0,0,0,0,1,0,0,0
34.279709,109.07048,70,46,95,1,2011/1/2,0,0,9,0,1,0,0,0,0,1,0
34.279709,109.07048,70,46,95,1,2011/1/2,1,-6,8,0,0,0,0,1,0,0,0
34.22282,108.947144,66,34,81,1,2011/1/2,0,0,9,0,1,0,0,0,0,1,0
34.22282,108.947144,66,34,81,1,2011/1/2,1,-6,8,0,0,0,0,1,0,0,0
34.26955,108.95903,46,46,93,1,2011/1/2,0,0,9,0,1,0,0,0,0,1,0
34.26955,108.95903,46,46,93,1,2011/1/2,1,-6,8,0,0,0,0,1,0,0,0
34.233376,108.9049,57,27,85,1,2011/1/2,0,0,9,0,1,0,0,0,0,1,0
34.233376,108.9049,57,27,85,1,2011/1/2,1,-6,8,0,0,0,0,1,0,0,0
34.35886,108.929192,35,15,74,1,2011/1/2,0,0,9,0,1,0,0,0,0,1,0
34.35886,108.929192,35,15,74,1,2011/1/2,1,-6,8,0,0,0,0,1,0,0,0
34.158932,108.90696,72,27,96,1,2011/1/2,0,0,9,0,1,0,0,0,0,1,0
34.158932,108.90696,72,27,96,1,2011/1/2,1,-6,8,0,0,0,0,1,0,0,0
34.662251,109.226196,66,40,69,1,2011/1/2,0,0,9,0,1,0,0,0,0,1,0
34.662251,109.226196,66,40,69,1,2011/1/2,1,-6,8,0,0,0,0,1,0,0,0
34.366699,109.214211,67,24,71,1,2011/1/2,0,0,9,0,1,0,0,0,0,1,0
34.366699,109.214211,67,24,71,1,2011/1/2,1,-6,8,0,0,0,0,1,0,0,0
34.382896,108.88327,62,22,91,1,2011/1/2,0,0,9,0,1,0,0,0,0,1,0
34.382896,108.88327,62,22,91,1,2011/1/2,1,-6,8,0,0,0,0,1,0,0,0
34.259781,108.856987,47,16,62,1,2011/1/3,0,0,9,0,0,0,0,1,0,0,0
34.259781,108.856987,47,16,62,1,2011/1/3,1,-5,8,0,0,1,0,0,0,0,0
34.261593,108.98996,31,14,71,1,2011/1/3,0,0,9,0,0,0,0,1,0,0,0
34.261593,108.98996,31,14,71,1,2011/1/3,1,-5,8,0,0,1,0,0,0,0,0
34.279709,109.07048,53,27,89,1,2011/1/3,0,0,9,0,0,0,0,1,0,0,0
34.279709,109.07048,53,27,89,1,2011/1/3,1,-5,8,0,0,1,0,0,0,0,0
