纬度,经度,SO2,NO2,PM10,CO,O31小时,O38小时,PM2.5,污染程度,日期,时间段,气温,风向编码,风力编码,降水强度,天气_多云,天气_晴,天气_阴,天气_雨,天气_雪,天气_雾霾沙尘
34.259781,108.856987,80,53,96,,,,,1,2010/1/1,0,,,,,,,,,,
34.259781,108.856987,80,53,96,,,,,1,2010/1/1,1,,,,,,,,,,
34.261593,108.98996,65,36,94,,,,,1,2010/1/1,0,,,,,,,,,,
34.261593,108.98996,65,36,94,,,,,1,2010/1/1,1,,,,,,,,,,
34.279709,109.07048,62,48,85,,,,,1,2010/1/1,0,,,,,,,,,,
34.279709,109.07048,62,48,85,,,,,1,2010/1/1,1,,,,,,,,,,
34.22282,108.947144,60,44,95,,,,,1,2010/1/1,0,,,,,,,,,,
34.22282,108.947144,60,44,95,,,,,1,2010/1/1,1,,,,,,,,,,
34.26955,108.95903,70,37,118,,,,,2,2010/1/1,0,,,,,,,,,,
34.26955,108.95903,70,37,118,,,,,2,2010/1/1,1,,,,,,,,,,
34.35886,108.929192,54,31,81,,,,,1,2010/1/1,0,,,,,,,,,,
34.35886,108.929192,54,31,81,,,,,1,2010/1/1,1,,,,,,,,,,
34.158932,108.90696,62,22,84,,,,,1,2010/1/1,0,,,,,,,,,,
34.158932,108.90696,62,22,84,,,,,1,2010/1/1,1,,,,,,,,,,
34.662251,109.226196,74,25,90,,,,,1,2010/1/1,0,,,,,,,,,,
34.662251,109.226196,74,25,90,,,,,1,2010/1/1,1,,,,,,,,,,
34.366699,109.214211,82,45,89,,,,,1,2010/1/1,0,,,,,,,,,,
34.366699,109.214211,82,45,89,,,,,1,2010/1/1,1,,,,,,,,,,
34.382896,108.88327,87,23,111,,,,,2,2010/1/1,0,,,,,,,,,,
34.382896,108.88327,87,23,111,,,,,2,2010/1/1,1,,,,,,,,,,
34.259781,108.856987,85,50,88,,,,,1,2010/1/2,0,,,,,,,,,,
34.259781,108.856987,85,50,88,,,,,1,2010/1/2,1,,,,,,,,,,
34.261593,108.98996,61,36,89,,,,,1,2010/1/2,0,,,,,,,,,,
34.261593,108.98996,61,36,89,,,,,1,2010/1/2,1,,,,,,,,,,
34.279709,109.07048,60,34,69,,,,,1,2010/1/2,0,,,,,,,,,,
34.279709,109.07048,60,34,69,,,,,1,2010/1/2,1,,,,,,,,,,
34.22282,108.947144,75,37,84,,,,,1,2010/1/2,0,,,,,,,,,,
34.22282,108.947144,75,37,84,,,,,1,2010/1/2,1,,,,,,,,,,
34.26955,108.95903,83,36,93,,,,,1,2010/1/2,0,,,,,,,,,,
34.26955,108.95903,83,36,93,,,,,1,2010/1/2,1,,,,,,,,,,
34.233376,108.9049,70,27,100,,,,,1,2010/1/2,0,,,,,,,,,,
34.233376,108.9049,70,27,100,,,,,1,2010/1/2,1,,,,,,,,,,
34.233376,108.9049,33,60,123,,,,,2,2010/1/2,0,,,,,,,,,,
34.233376,108.9049,33,60,123,,,,,2,2010/1/2,1,,,,,,,,,,
34.35886,108.929192,49,26,80,,,,,1,2010/1/2,0,,,,,,,,,,
34.35886,108.929192,49,26,80,,,,,1,2010/1/2,1,,,,,,,,,,
34.158932,108.90696,58,19,67,,,,,1,2010/1/2,0,,,,,,,,,,
34.158932,108.90696,58,19,67,,,,,1,2010/1/2,1,,,,,,,,,,
34.662251,109.226196,60,22,76,,,,,1,2010/1/2,0,,,,,,,,,,
34.662251,109.226196,60,22,76,,,,,1,2010/1/2,1,,,,,,,,,,
34.366699,109.214211,67,29,67,,,,,1,2010/1/2,0,,,,,,,,,,
34.366699,109.214211,67,29,67,,,,,1,2010/1/2,1,,,,,,,,,,
34.382896,108.88327,43,16,62,,,,,1,2010/1/2,0,,,,,,,,,,
34.382896,108.88327,43,16,62,,,,,1,2010/1/2,1,,,,,,,,,,
34.259781,108.856987,89,54,115,,,,,2,2010/1/3,0,,,,,,,,,,
34.259781,108.856987,89,54,115,,,,,2,2010/1/3,1,,,,,,,,,,
34.261593,108.98996,57,27,93,,,,,1,2010/1/3,0,,,,,,,,,,
34.261593,108.98996,57,27,93,,,,,1,2010/1/3,1,,,,,,,,,,
34.279709,109.07048,40,36,84,,,,,1,2010/1/3,0,,,,,,,,,,
34.279709,109.07048,40,36,84,,,,,1,2010/1/3,1,,,,,,,,,,
34.22282,108.947144,55,22,102,,,,,2,2010/1/3,0,,,,,,,,,,
34.22282,108.947144,55,22,102,,,,,2,2010/1/3,1,,,,,,,,,,
34.26955,108.95903,91,34,119,,,,,2,2010/1/3,0,,,,,,,,,,
34.26955,108.95903,91,34,119,,,,,2,2010/1/3,1,,,,,,,,,,
34.233376,108.9049,62,34,97,,,,,1,2010/1/3,0,,,,,,,,,,
34.233376,108.9049,62,34,97,,,,,1,2010/1/3,1,,,,,,,,,,
34.35886,108.929192,46,32,98,,,,,1,2010/1/3,0,,,,,,,,,,
34.35886,108.929192,46,32,98,,,,,1,2010/1/3,1,,,,,,,,,,
34.158932,108.90696,55,22,88,,,,,1,2010/1/3,0,,,,,,,,,,
34.158932,108.90696,55,22,88,,,,,1,2010/1/3,1,,,,,,,,,,
34.662251,109.226196,84,34,91,,,,,1,2010/1/3,0,,,,,,,,,,
34.662251,109.226196,84,34,91,,,,,1,2010/1/3,1,,,,,,,,,,
34.366699,109.214211,94,42,95,,,,,1,2010/1/3,0,,,,,,,,,,
34.366699,109.214211,94,42,95,,,,,1,2010/1/3,1,,,,,,,,,,
34.382896,108.88327,56,20,80,,,,,1,2010/1/3,0,,,,,,,,,,
34.382896,108.88327,56,20,80,,,,,1,2010/1/3,1,,,,,,,,,,
34.259781,108.856987,61,19,98,,,,,1,2010/1/4,0,,,,,,,,,,
34.259781,108.856987,61,19,98,,,,,1,2010/1/4,1,,,,,,,,,,
34.261593,108.98996,54,22,77,,,,,1,2010/1/4,0,,,,,,,,,,
34.261593,108.98996,54,22,77,,,,,1,2010/1/4,1,,,,,,,,,,
34.279709,109.07048,40,40,98,,,,,1,2010/1/4,0,,,,,,,,,,
34.279709,109.07048,40,40,98,,,,,1,2010/1/4,1,,,,,,,,,,
34.22282,108.947144,57,20,94,,,,,1,2010/1/4,0,,,,,,,,,,
34.22282,108.947144,57,20,94,,,,,1,2010/1/4,1,,,,,,,,,,
34.26955,108.95903,74,22,95,,,,,1,2010/1/4,0,,,,,,,,,,
34.26955,108.95903,74,22,95,,,,,1,2010/1/4,1,,,,,,,,,,
34.233376,108.9049,52,70,95,,,,,1,2010/1/4,0,,,,,,,,,,
34.233376,108.9049,52,70,95,,,,,1,2010/1/4,1,,,,,,,,,,
34.35886,108.929192,62,29,93,,,,,1,2010/1/4,0,,,,,,,,,,
34.35886,108.929192,62,29,93,,,,,1,2010/1/4,1,,,,,,,,,,
34.158932,108.90696,65,25,93,,,,,1,2010/1/4,0,,,,,,,,,,
34.158932,108.90696,65,25,93,,,,,1,2010/1/4,1,,,,,,,,,,
34.662251,109.226196,72,22,72,,,,,1,2010/1/4,0,,,,,,,,,,
34.662251,109.226196,72,22,72,,,,,1,2010/1/4,1,,,,,,,,,,
34.366699,109.214211,68,24,74,,,,,1,2010/1/4,0,,,,,,,,,,
34.366699,109.214211,68,24,74,,,,,1,2010/1/4,1,,,,,,,,,,
34.382896,108.88327,61,21,70,,,,,1,2010/1/4,0,,,,,,,,,,
34.382896,108.88327,61,21,70,,,,,1,2010/1/4,1,,,,,,,,,,
34.259781,108.856987,68,58,64,,,,,1,2010/1/5,0,,,,,,,,,,
34.259781,108.856987,68,58,64,,,,,1,2010/1/5,1,,,,,,,,,,
34.261593,108.98996,64,24,69,,,,,1,2010/1/5,0,,,,,,,,,,
34.261593,108.98996,64,24,69,,,,,1,2010/1/5,1,,,,,,,,,,
34.279709,109.07048,70,29,70,,,,,1,2010/1/5,0,,,,,,,,,,
34.279709,109.07048,70,29,70,,,,,1,2010/1/5,1,,,,,,,,,,
34.22282,108.947144,74,26,66,,,,,1,2010/1/5,0,,,,,,,,,,
34.22282,108.947144,74,26,66,,,,,1,2010/1/5,1,,,,,,,,,,
34.26955,108.95903,70,32,77,,,,,1,2010/1/5,0,,,,,,,,,,
34.26955,108.95903,70,32,77,,,,,1,2010/1/5,1,,,,,,,,,,
34.233376,108.9049,63,39,63,,,,,1,2010/1/5,0,,,,,,,,,,
34.233376,108.9049,63,39,63,,,,,1,2010/1/5,1,,,,,,,,,,
34.35886,108.929192,19,14,80,,,,,1,2010/1/5,0,,,,,,,,,,
34.35886,108.929192,19,14,80,,,,,1,2010/1/5,1,,,,,,,,,,
34.158932,108.90696,44,17,71,,,,,1,2010/1/5,0,,,,,,,,,,
34.158932,108.90696,44,17,71,,,,,1,2010/1/5,1,,,,,,,,,,
34.662251,109.226196,37,8,67,,,,,1,2010/1/5,0,,,,,,,,,,
34.662251,109.226196,37,8,67,,,,,1,2010/1/5,1,,,,,,,,,,
34.366699,109.214211,62,19,66,,,,,1,2010/1/5,0,,,,,,,,,,
34.366699,109.214211,62,19,66,,,,,1,2010/1/5,1,,,,,,,,,,
34.382896,108.88327,45,11,65,,,,,1,2010/1/5,0,,,,,,,,,,
34.382896,108.88327,45,11,65,,,,,1,2010/1/5,1,,,,,,,,,,
34.259781,108.856987,68,64,83,,,,,1,2010/1/6,0,,,,,,,,,,
34.259781,108.856987,68,64,83,,,,,1,2010/1/6,1,,,,,,,,,,
34.261593,108.98996,56,35,78,,,,,1,2010/1/6,0,,,,,,,,,,
34.261593,108.98996,56,35,78,,,,,1,2010/1/6,1,,,,,,,,,,
34.279709,109.07048,43,36,92,,,,,1,2010/1/6,0,,,,,,,,,,
34.279709,109.07048,43,36,92,,,,,1,2010/1/6,1,,,,,,,,,,
34.22282,108.947144,82,27,106,,,,,2,2010/1/6,0,,,,,,,,,,
34.22282,108.947144,82,27,106,,,,,2,2010/1/6,1,,,,,,,,,,
34.26955,108.95903,96,44,104,,,,,2,2010/1/6,0,,,,,,,,,,
34.26955,108.95903,96,44,104,,,,,2,2010/1/6,1,,,,,,,,,,
34.233376,108.9049,62,65,67,,,,,1,2010/1/6,0,,,,,,,,,,
34.233376,108.9049,62,65,67,,,,,1,2010/1/6,1,,,,,,,,,,
34.35886,108.929192,43,20,60,,,,,1,2010/1/6,0,,,,,,,,,,
34.35886,108.929192,43,20,60,,,,,1,2010/1/6,1,,,,,,,,,,
34.158932,108.90696,56,22,101,,,,,2,2010/1/6,0,,,,,,,,,,
34.158932,108.90696,56,22,101,,,,,2,2010/1/6,1,,,,,,,,,,
34.662251,109.226196,60,16,84,,,,,1,2010/1/6,0,,,,,,,,,,
34.662251,109.226196,60,16,84,,,,,1,2010/1/6,1,,,,,,,,,,
34.366699,109.214211,65,29,75,,,,,1,2010/1/6,0,,,,,,,,,,
34.366699,109.214211,65,29,75,,,,,1,2010/1/6,1,,,,,,,,,,
34.382896,108.88327,65,14,93,,,,,1,2010/1/6,0,,,,,,,,,,
34.382896,108.88327,65,14,93,,,,,1,2010/1/6,1,,,,,,,,,,
34.259781,108.856987,93,84,109,,,,,2,2010/1/7,0,,,,,,,,,,
34.259781,108.856987,93,84,109,,,,,2,2010/1/7,1,,,,,,,,,,
34.261593,108.98996,67,39,106,,,,,2,2010/1/7,0,,,,,,,,,,
34.261593,108.98996,67,39,106,,,,,2,2010/1/7,1,,,,,,,,,,
34.279709,109.07048,54,40,109,,,,,2,2010/1/7,0,,,,,,,,,,
34.279709,109.07048,54,40,109,,,,,2,2010/1/7,1,,,,,,,,,,
34.22282,108.947144,78,27,126,,,,,2,2010/1/7,0,,,,,,,,,,
34.22282,108.947144,78,27,126,,,,,2,2010/1/7,1,,,,,,,,,,
34.26955,108.95903,84,65,128,,,,,2,2010/1/7,0,,,,,,,,,,
34.26955,108.95903,84,65,128,,,,,2,2010/1/7,1,,,,,,,,,,
34.233376,108.9049,46,67,86,,,,,1,2010/1/7,0,,,,,,,,,,
34.233376,108.9049,46,67,86,,,,,1,2010/1/7,1,,,,,,,,,,
34.35886,108.929192,57,27,81,,,,,1,2010/1/7,0,,,,,,,,,,
34.35886,108.929192,57,27,81,,,,,1,2010/1/7,1,,,,,,,,,,
34.158932,108.90696,82,27,121,,,,,2,2010/1/7,0,,,,,,,,,,
34.158932,108.90696,82,27,121,,,,,2,2010/1/7,1,,,,,,,,,,
34.662251,109.226196,61,24,89,,,,,1,2010/1/7,0,,,,,,,,,,
34.662251,109.226196,61,24,89,,,,,1,2010/1/7,1,,,,,,,,,,
34.366699,109.214211,68,34,92,,,,,1,2010/1/7,0,,,,,,,,,,
34.366699,109.214211,68,34,92,,,,,1,2010/1/7,1,,,,,,,,,,
34.382896,108.88327,80,16,117,,,,,2,2010/1/7,0,,,,,,,,,,
34.382896,108.88327,80,16,117,,,,,2,2010/1/7,1,,,,,,,,,,
34.259781,108.856987,110,45,110,,,,,2,2010/1/8,0,,,,,,,,,,
34.259781,108.856987,110,45,110,,,,,2,2010/1/8,1,,,,,,,,,,
34.261593,108.98996,74,63,102,,,,,2,2010/1/8,0,,,,,,,,,,
34.261593,108.98996,74,63,102,,,,,2,2010/1/8,1,,,,,,,,,,
34.279709,109.07048,51,45,123,,,,,2,2010/1/8,0,,,,,,,,,,
34.279709,109.07048,51,45,123,,,,,2,2010/1/8,1,,,,,,,,,,
34.22282,108.947144,123,27,138,,,,,2,2010/1/8,0,,,,,,,,,,
34.22282,108.947144,123,27,138,,,,,2,2010/1/8,1,,,,,,,,,,
34.26955,108.95903,124,79,93,,,,,2,2010/1/8,0,,,,,,,,,,
34.26955,108.95903,124,79,93,,,,,2,2010/1/8,1,,,,,,,,,,
34.233376,108.9049,60,106,87,,,,,2,2010/1/8,0,,,,,,,,,,
34.233376,108.9049,60,106,87,,,,,2,2010/1/8,1,,,,,,,,,,
34.35886,108.929192,74,30,80,,,,,1,2010/1/8,0,,,,,,,,,,
34.35886,108.929192,74,30,80,,,,,1,2010/1/8,1,,,,,,,,,,
34.158932,108.90696,114,35,140,,,,,2,2010/1/8,0,,,,,,,,,,
34.158932,108.90696,114,35,140,,,,,2,2010/1/8,1,,,,,,,,,,
34.662251,109.226196,104,40,108,,,,,2,2010/1/8,0,,,,,,,,,,
34.662251,109.226196,104,40,108,,,,,2,2010/1/8,1,,,,,,,,,,
