纬度,经度,SO2,NO2,PM10,CO,O31小时,O38小时,PM2.5,污染程度,日期,时间段,气温,风向编码,风力编码,降水强度,天气_多云,天气_晴,天气_阴,天气_雨,天气_雪,天气_雾霾沙尘
34.259781,108.856987,90,116,115,30.0,52.0,17.0,139.0,3,2013/1/1,0,5.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
34.259781,108.856987,90,116,115,30.0,52.0,17.0,139.0,3,2013/1/1,1,-5.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34.261593,108.98996,62,43,144,33.0,43.0,17.0,103.0,3,2013/1/1,0,5.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
34.261593,108.98996,62,43,144,33.0,43.0,17.0,103.0,3,2013/1/1,1,-5.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34.279709,109.07048,72,57,72,11.0,65.0,25.0,100.0,1,2013/1/1,0,5.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
34.279709,109.07048,72,57,72,11.0,65.0,25.0,100.0,1,2013/1/1,1,-5.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34.22282,108.947144,97,64,148,104.0,47.0,12.0,127.0,3,2013/1/1,0,5.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
34.22282,108.947144,97,64,148,104.0,47.0,12.0,127.0,3,2013/1/1,1,-5.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34.26955,108.95903,72,131,138,104.0,58.0,23.0,147.0,3,2013/1/1,0,5.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
34.26955,108.95903,72,131,138,104.0,58.0,23.0,147.0,3,2013/1/1,1,-5.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34.233376,108.9049,38,39,141,83.0,65.0,25.0,156.0,4,2013/1/1,0,5.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
34.233376,108.9049,38,39,141,83.0,65.0,25.0,156.0,4,2013/1/1,1,-5.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34.35886,108.929192,47,113,151,77.0,38.0,12.0,218.0,6,2013/1/1,0,5.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
34.35886,108.929192,47,113,151,77.0,38.0,12.0,218.0,6,2013/1/1,1,-5.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34.158932,108.90696,68,37,138,37.0,71.0,30.0,138.0,3,2013/1/1,0,5.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
34.158932,108.90696,68,37,138,37.0,71.0,30.0,138.0,3,2013/1/1,1,-5.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34.662251,109.226196,67,27,85,46.0,45.0,19.0,90.0,1,2013/1/1,0,5.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
34.662251,109.226196,67,27,85,46.0,45.0,19.0,90.0,1,2013/1/1,1,-5.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34.366699,109.214211,66,87,107,66.0,54.0,18.0,97.0,3,2013/1/1,0,5.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
34.366699,109.214211,66,87,107,66.0,54.0,18.0,97.0,3,2013/1/1,1,-5.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34.209648,108.977669,8,121,166,56.0,6.0,3.0,149.0,4,2013/1/1,0,5.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
34.209648,108.977669,8,121,166,56.0,6.0,3.0,149.0,4,2013/1/1,1,-5.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34.354256,109.011482,37,94,64,33.0,60.0,23.0,104.0,3,2013/1/1,0,5.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
34.354256,109.011482,37,94,64,33.0,60.0,23.0,104.0,3,2013/1/1,1,-5.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34.259781,108.856987,86,92,73,23.0,40.0,18.0,69.0,1,2013/1/2,0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34.259781,108.856987,86,92,73,23.0,40.0,18.0,69.0,1,2013/1/2,1,-5.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34.261593,108.98996,61,27,105,21.0,34.0,15.0,87.0,3,2013/1/2,0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34.261593,108.98996,61,27,105,21.0,34.0,15.0,87.0,3,2013/1/2,1,-5.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34.279709,109.07048,67,42,65,5.0,49.0,22.0,82.0,1,2013/1/2,0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34.279709,109.07048,67,42,65,5.0,49.0,22.0,82.0,1,2013/1/2,1,-5.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34.22282,108.947144,88,35,103,84.0,33.0,11.0,77.0,3,2013/1/2,0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34.22282,108.947144,88,35,103,84.0,33.0,11.0,77.0,3,2013/1/2,1,-5.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34.26955,108.95903,61,37,96,70.0,52.0,25.0,63.0,1,2013/1/2,0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34.26955,108.95903,61,37,96,70.0,52.0,25.0,63.0,1,2013/1/2,1,-5.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34.233376,108.9049,33,25,98,60.0,51.0,23.0,84.0,1,2013/1/2,0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34.233376,108.9049,33,25,98,60.0,51.0,23.0,84.0,1,2013/1/2,1,-5.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34.35886,108.929192,32,54,74,53.0,31.0,13.0,74.0,1,2013/1/2,0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34.35886,108.929192,32,54,74,53.0,31.0,13.0,74.0,1,2013/1/2,1,-5.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34.158932,108.90696,77,38,135,33.0,66.0,29.0,118.0,3,2013/1/2,0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34.158932,108.90696,77,38,135,33.0,66.0,29.0,118.0,3,2013/1/2,1,-5.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34.662251,109.226196,60,23,61,24.0,42.0,20.0,46.0,1,2013/1/2,0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34.662251,109.226196,60,23,61,24.0,42.0,20.0,46.0,1,2013/1/2,1,-5.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34.366699,109.214211,55,50,79,30.0,54.0,18.0,65.0,1,2013/1/2,0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34.366699,109.214211,55,50,79,30.0,54.0,18.0,65.0,1,2013/1/2,1,-5.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34.209648,108.977669,11,60,103,42.0,5.0,3.0,98.0,3,2013/1/2,0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34.209648,108.977669,11,60,103,42.0,5.0,3.0,98.0,3,2013/1/2,1,-5.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34.354256,109.011482,38,68,46,29.0,41.0,17.0,82.0,1,2013/1/2,0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34.354256,109.011482,38,68,46,29.0,41.0,17.0,82.0,1,2013/1/2,1,-5.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34.259781,108.856987,76,84,68,21.0,58.0,24.0,39.0,1,2013/1/3,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
34.259781,108.856987,76,84,68,21.0,58.0,24.0,39.0,1,2013/1/3,1,-7.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34.261593,108.98996,46,23,63,13.0,46.0,21.0,42.0,1,2013/1/3,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
34.261593,108.98996,46,23,63,13.0,46.0,21.0,42.0,1,2013/1/3,1,-7.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34.279709,109.07048,44,35,61,45.0,66.0,29.0,70.0,1,2013/1/3,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
34.279709,109.07048,44,35,61,45.0,66.0,29.0,70.0,1,2013/1/3,1,-7.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34.22282,108.947144,85,33,69,77.0,50.0,19.0,42.0,1,2013/1/3,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
34.22282,108.947144,85,33,69,77.0,50.0,19.0,42.0,1,2013/1/3,1,-7.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34.26955,108.95903,50,15,63,62.0,71.0,32.0,69.0,1,2013/1/3,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
34.26955,108.95903,50,15,63,62.0,71.0,32.0,69.0,1,2013/1/3,1,-7.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34.233376,108.9049,24,18,57,53.0,71.0,30.0,40.0,1,2013/1/3,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
34.233376,108.9049,24,18,57,53.0,71.0,30.0,40.0,1,2013/1/3,1,-7.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34.35886,108.929192,22,44,48,48.0,40.0,18.0,48.0,0,2013/1/3,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
34.35886,108.929192,22,44,48,48.0,40.0,18.0,48.0,0,2013/1/3,1,-7.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34.662251,109.226196,61,23,61,24.0,46.0,22.0,57.0,1,2013/1/3,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
34.662251,109.226196,61,23,61,24.0,46.0,22.0,57.0,1,2013/1/3,1,-7.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34.366699,109.214211,41,39,55,18.0,116.0,39.0,45.0,1,2013/1/3,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
34.366699,109.214211,41,39,55,18.0,116.0,39.0,45.0,1,2013/1/3,1,-7.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34.209648,108.977669,9,52,64,33.0,6.0,3.0,49.0,1,2013/1/3,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
34.209648,108.977669,9,52,64,33.0,6.0,3.0,49.0,1,2013/1/3,1,-7.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34.354256,109.011482,14,54,27,21.0,57.0,25.0,43.0,1,2013/1/3,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
34.354256,109.011482,14,54,27,21.0,57.0,25.0,43.0,1,2013/1/3,1,-7.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34.259781,108.856987,110,111,131,35.0,25.0,9.0,143.0,3,2013/1/4,0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34.259781,108.856987,110,111,131,35.0,25.0,9.0,143.0,3,2013/1/4,1,-6.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
