日期,时间段,气温,风向编码,风力编码,降水强度,天气_多云,天气_晴,天气_阴,天气_雨,天气_雪,天气_雾霾沙尘
2011/1/2,0,0.0,9,0,1,0,0,0,0,1,0
2011/1/2,1,-6.0,8,0,0,0,0,1,0,0,0
2011/1/3,0,0.0,9,0,0,0,0,1,0,0,0
2011/1/3,1,-5.0,8,0,0,1,0,0,0,0,0
2011/1/4,0,0.0,9,0,0,0,0,1,0,0,0
2011/1/4,1,-5.0,8,0,0,0,0,1,0,0,0
2011/1/5,0,0.0,9,0,0,0,0,0,0,0,1
2011/1/5,1,-6.0,8,0,0,1,0,0,0,0,0
2011/1/6,0,-1.0,9,0,0,0,0,1,0,0,0
2011/1/6,1,-6.0,9,0,0,0,0,1,0,0,0
2011/1/7,0,1.0,9,0,0,1,0,0,0,0,0
2011/1/7,1,-5.0,8,0,0,1,0,0,0,0,0
2011/1/8,0,0.0,9,0,0,1,0,0,0,0,0
2011/1/8,1,-6.0,8,0,0,1,0,0,0,0,0
2011/1/9,0,1.0,9,0,0,0,0,1,0,0,0
2011/1/9,1,-4.0,8,0,0,1,0,0,0,0,0
2011/1/10,0,1.0,9,0,0,1,0,0,0,0,0
2011/1/10,1,-5.0,8,0,0,0,1,0,0,0,0
2011/1/11,0,1.0,9,0,0,0,1,0,0,0,0
2011/1/11,1,-4.0,8,0,0,1,0,0,0,0,0
2011/1/12,0,4.0,9,0,0,1,0,0,0,0,0
2011/1/12,1,-4.0,8,0,0,1,0,0,0,0,0
2011/1/13,0,2.0,9,0,0,1,0,0,0,0,0
2011/1/13,1,-5.0,0,2,0,1,0,0,0,0,0
2011/1/14,0,3.0,9,0,0,1,0,0,0,0,0
2011/1/14,1,-6.0,8,0,0,0,1,0,0,0,0
2011/1/15,0,1.0,9,0,0,0,1,0,0,0,0
2011/1/15,1,-6.0,8,0,0,1,0,0,0,0,0
2011/1/16,0,3.0,9,0,0,0,0,1,0,0,0
2011/1/16,1,-6.0,8,0,0,0,0,1,0,0,0
2011/1/17,0,0.0,9,0,0,0,0,0,0,1,0
2011/1/17,1,-5.0,8,0,0,0,0,1,0,0,0
2011/1/18,0,0.0,9,0,0,0,0,1,0,0,0
2011/1/18,1,-5.0,8,0,0,0,0,1,0,0,0
2011/1/19,0,0.0,9,0,0,0,0,1,0,0,0
2011/1/19,1,-4.0,8,0,0,0,0,1,0,0,0
2011/1/20,0,2.0,9,0,0,0,0,1,0,0,0
2011/1/20,1,-4.0,9,0,0,1,0,0,0,0,0
2011/1/21,0,4.0,9,0,0,1,0,0,0,0,0
2011/1/21,1,-4.0,9,0,0,1,0,0,0,0,0
2011/1/22,0,2.0,9,0,0,1,0,0,0,0,0
2011/1/22,1,-5.0,9,0,0,0,1,0,0,0,0
2011/1/23,0,3.0,9,0,0,1,0,0,0,0,0
2011/1/23,1,-5.0,8,0,0,1,0,0,0,0,0
2011/1/24,0,4.0,9,0,0,0,1,0,0,0,0
2011/1/24,1,-5.0,8,0,0,1,0,0,0,0,0
2011/1/25,0,2.0,9,0,0,0,0,1,0,0,0
2011/1/25,1,-5.0,8,0,0,0,0,1,0,0,0
2011/1/26,0,2.0,9,0,1,0,0,0,0,1,0
2011/1/26,1,-3.0,8,0,2,0,0,0,0,1,0
2011/1/27,0,0.0,9,0,2,0,0,0,0,1,0
2011/1/27,1,-4.0,8,0,1,0,0,0,0,1,0
2011/1/28,0,0.0,9,0,0,0,0,1,0,0,0
2011/1/28,1,-5.0,8,0,0,1,0,0,0,0,0
2011/1/29,0,3.0,9,0,0,0,1,0,0,0,0
2011/1/29,1,-6.0,8,0,0,0,1,0,0,0,0
2011/1/30,0,3.0,9,0,0,0,1,0,0,0,0
2011/1/30,1,-5.0,8,0,0,1,0,0,0,0,0
2011/1/31,0,4.0,9,0,0,0,1,0,0,0,0
2011/1/31,1,-5.0,9,0,0,0,1,0,0,0,0
2011/2/1,0,5.0,9,0,0,0,1,0,0,0,0
2011/2/1,1,-4.0,8,0,0,0,1,0,0,0,0
2011/2/2,0,9.0,9,0,0,1,0,0,0,0,0
2011/2/2,1,-3.0,8,0,0,1,0,0,0,0,0
2011/2/3,0,10.0,9,0,0,0,1,0,0,0,0
2011/2/3,1,-2.0,8,0,0,0,1,0,0,0,0
2011/2/4,0,11.0,9,0,0,0,1,0,0,0,0
2011/2/4,1,0.0,8,0,0,0,1,0,0,0,0
2011/2/5,0,14.0,9,0,0,0,1,0,0,0,0
2011/2/5,1,1.0,8,0,0,0,1,0,0,0,0
2011/2/6,0,11.0,9,0,0,0,0,1,0,0,0
2011/2/6,1,2.0,8,0,0,0,0,1,0,0,0
2011/2/7,0,13.0,9,0,0,0,1,0,0,0,0
2011/2/7,1,2.0,8,0,0,0,0,1,0,0,0
2011/2/8,0,9.0,9,0,0,0,0,1,0,0,0
2011/2/8,1,0.0,8,0,1,0,0,0,1,0,0
2011/2/9,0,4.0,1,2,1,0,0,0,1,0,0
