纬度,经度,SO2,NO2,PM10,污染程度,日期,时间段,气温
34.354256,109.011482,15,45,121,4,2013-04-21,0,18.0
34.354256,109.011482,15,45,121,4,2013-04-21,1,9.0
34.354256,109.011482,10,58,155,6,2013-04-22,0,15.0
34.354256,109.011482,10,58,155,6,2013-04-22,1,9.0
34.354256,109.011482,16,64,132,4,2013-04-23,0,26.0
34.354256,109.011482,16,64,132,4,2013-04-23,1,11.0
34.354256,109.011482,19,102,179,4,2013-04-24,0,27.0
34.354256,109.011482,19,102,179,4,2013-04-24,1,14.0
34.354256,109.011482,17,89,108,3,2013-04-25,0,29.0
34.354256,109.011482,17,89,108,3,2013-04-25,1,13.0
34.354256,109.011482,25,98,135,3,2013-04-26,0,31.0
34.354256,109.011482,25,98,135,3,2013-04-26,1,14.0
