点位名称,SO2,NO2,PM10,CO,O31小时,O38小时,PM2.5,首要污染物,时间
高压开关厂 ,23,79,140,42,107,116,133,3,2013-04-26
高压开关厂 ,26,88,167,46,95,99,169,4,2013-04-25
高压开关厂 ,80,130,154,77,59,78,195,4,2013-04-24
高压开关厂 ,24,82,133,79,40,44,200,4,2013-04-23
高压开关厂 ,13,45,125,71,9,9,220,6,2013-04-22
高压开关厂 ,21,40,98,67,26,32,168,4,2013-04-21
高压开关厂 ,15,37,70,50,22,26,88,1,2013-04-20
高压开关厂 ,8,34,87,71,23,33,125,3,2013-04-19
高压开关厂 ,31,40,318,93,39,52,200,7,2013-04-18
高压开关厂 ,42,52,155,99,107,115,170,4,2013-04-17
高压开关厂 ,54,45,98,76,64,79,92,1,2013-04-16
高压开关厂 ,76,52,106,93,49,78,85,3,2013-04-15
高压开关厂 ,62,47,88,82,49,72,64,1,2013-04-14
高压开关厂 ,34,62,107,89,41,52,105,3,2013-04-13
高压开关厂 ,56,125,110,101,44,62,108,3,2013-04-12
高压开关厂 ,83,167,119,102,41,57,134,4,2013-04-11
高压开关厂 ,37,99,108,89,38,45,113,3,2013-04-10
高压开关厂 ,19,100,90,79,42,65,85,1,2013-04-09
高压开关厂 ,36,165,159,87,35,55,112,4,2013-04-08
高压开关厂 ,65,155,125,96,56,67,147,4,2013-04-07
高压开关厂 ,40,97,96,77,38,45,93,1,2013-04-06
高压开关厂 ,30,82,109,68,30,40,89,3,2013-04-05
高压开关厂 ,47,59,127,83,24,27,158,4,2013-04-04
高压开关厂 ,62,79,134,91,54,68,179,4,2013-04-03
高压开关厂 ,81,64,126,82,15,21,138,3,2013-04-02
高压开关厂 ,54,92,191,99,50,76,229,6,2013-04-01
高压开关厂 ,46,59,147,87,41,44,237,6,2013-03-31
高压开关厂 ,65,90,176,89,41,52,235,6,2013-03-30
高压开关厂 ,54,65,146,80,30,40,198,4,2013-03-29
高压开关厂 ,57,116,143,101,40,50,150,3,2013-03-28
高压开关厂 ,52,94,140,99,37,44,148,3,2013-03-27
高压开关厂 ,44,95,105,78,40,50,145,3,2013-03-26
高压开关厂 ,56,62,115,71,13,28,133,3,2013-03-25
高压开关厂 ,43,92,146,63,36,48,115,3,2013-03-24
高压开关厂 ,58,85,166,83,46,56,208,6,2013-03-23
高压开关厂 ,58,101,143,85,32,38,208,6,2013-03-22
高压开关厂 ,52,70,136,71,23,28,173,4,2013-03-21
高压开关厂 ,42,53,148,59,32,44,114,3,2013-03-20
高压开关厂 ,57,105,175,98,32,34,163,4,2013-03-19
高压开关厂 ,55,99,153,70,35,42,108,4,2013-03-18
高压开关厂 ,63,107,139,64,45,65,158,4,2013-03-17
高压开关厂 ,66,64,166,75,15,18,280,6,2013-03-16
高压开关厂 ,67,75,149,62,26,34,229,6,2013-03-15
