点位名称,SO2,NO2,PM10,CO,O31小时,O38小时,PM2.5,首要污染物,时间
高压开关厂 ,80,65,94,,,,,1,2012/12/31
高压开关厂 ,74,50,82,,,,,1,2012/12/30
高压开关厂 ,73,32,97,,,,,1,2012/12/29
高压开关厂 ,100,97,230,,,,,4,2012/12/28
高压开关厂 ,66,60,123,,,,,2,2012/12/25
高压开关厂 ,42,22,95,,,,,1,2012/12/24
高压开关厂 ,49,27,74,,,,,1,2012/12/23
高压开关厂 ,52,31,87,,,,,1,2012/12/22
高压开关厂 ,54,41,97,,,,,1,2012/12/21
高压开关厂 ,60,39,95,,,,,1,2012/12/20
高压开关厂 ,56,30,94,,,,,1,2012/12/19
高压开关厂 ,41,27,83,,,,,1,2012/12/18
高压开关厂 ,56,22,209,,,,,4,2012/12/17
高压开关厂 ,62,28,362,,,,,7,2012/12/16
高压开关厂 ,65,31,304,,,,,7,2012/12/15
高压开关厂 ,61,29,295,,,,,5,2012/12/14
高压开关厂 ,67,34,269,,,,,5,2012/12/13
高压开关厂 ,60,34,293,,,,,5,2012/12/12
高压开关厂 ,61,36,131,,,,,2,2012/12/11
高压开关厂 ,59,27,132,,,,,2,2012/12/10
高压开关厂 ,61,15,92,,,,,1,2012/12/9
高压开关厂 ,64,27,95,,,,,1,2012/12/8
高压开关厂 ,61,28,95,,,,,1,2012/12/7
高压开关厂 ,65,17,95,,,,,1,2012/12/6
高压开关厂 ,71,17,98,,,,,1,2012/12/5
高压开关厂 ,82,34,100,,,,,1,2012/12/4
高压开关厂 ,86,21,130,,,,,2,2012/12/3
高压开关厂 ,85,30,268,,,,,5,2012/12/2
高压开关厂 ,92,35,226,,,,,4,2012/12/1
高压开关厂 ,62,27,97,,,,,1,2012/11/30
高压开关厂 ,44,19,98,,,,,1,2012/11/29
高压开关厂 ,46,27,95,,,,,1,2012/11/28
高压开关厂 ,40,22,90,,,,,1,2012/11/27
高压开关厂 ,46,17,82,,,,,1,2012/11/26
高压开关厂 ,43,15,88,,,,,1,2012/11/25
高压开关厂 ,32,17,87,,,,,1,2012/11/24
高压开关厂 ,35,10,84,,,,,1,2012/11/23
高压开关厂 ,36,32,167,,,,,3,2012/11/22
高压开关厂 ,35,29,144,,,,,2,2012/11/21
高压开关厂 ,53,27,130,,,,,2,2012/11/20
高压开关厂 ,39,27,90,,,,,1,2012/11/19
高压开关厂 ,38,43,96,,,,,1,2012/11/18
高压开关厂 ,34,30,82,,,,,1,2012/11/17
高压开关厂 ,40,18,66,,,,,1,2012/11/16
高压开关厂 ,60,38,129,,,,,2,2012/11/15
高压开关厂 ,35,29,96,,,,,1,2012/11/14
高压开关厂 ,41,32,95,,,,,1,2012/11/13
高压开关厂 ,35,25,84,,,,,1,2012/11/12
高压开关厂 ,27,19,75,,,,,1,2012/11/11
高压开关厂 ,29,21,94,,,,,1,2012/11/10
高压开关厂 ,34,23,89,,,,,1,2012/11/9
高压开关厂 ,29,14,57,,,,,1,2012/11/8
高压开关厂 ,29,30,96,,,,,1,2012/11/7
高压开关厂 ,29,29,91,,,,,1,2012/11/6
