点位名称,SO2,NO2,PM10,CO,O31小时,O38小时,PM2.5,首要污染物,时间
高压开关厂 ,23.0,79.0,140.0,42.0,107.0,116.0,133.0,轻度,2013-04-26
高压开关厂 ,26.0,88.0,167.0,46.0,95.0,99.0,169.0,中度,2013-04-25
高压开关厂 ,,,154.0,77.0,59.0,78.0,195.0,中度,2013-04-24
高压开关厂 ,24.0,82.0,133.0,79.0,40.0,44.0,200.0,中度,2013-04-23
高压开关厂 ,13.0,45.0,125.0,71.0,9.0,9.0,220.0,重度,2013-04-22
高压开关厂 ,21.0,40.0,98.0,67.0,26.0,32.0,168.0,中度,2013-04-21
高压开关厂 ,15.0,37.0,70.0,50.0,22.0,26.0,88.0,良,2013-04-20
高压开关厂 ,8.0,34.0,87.0,71.0,23.0,33.0,125.0,轻度,2013-04-19
高压开关厂 ,31.0,40.0,318.0,93.0,39.0,52.0,200.0,严重,2013-04-18
高压开关厂 ,42.0,52.0,155.0,99.0,107.0,115.0,170.0,中度,2013-04-17
高压开关厂 ,54.0,45.0,98.0,76.0,64.0,79.0,92.0,良,2013-04-16
高压开关厂 ,76.0,52.0,106.0,93.0,49.0,78.0,85.0,轻度,2013-04-15
高压开关厂 ,62.0,47.0,88.0,82.0,49.0,72.0,64.0,良,2013-04-14
高压开关厂 ,34.0,62.0,107.0,89.0,41.0,52.0,105.0,轻度,2013-04-13
高压开关厂 ,56.0,,110.0,101.0,44.0,62.0,108.0,轻度,2013-04-12
高压开关厂 ,83.0,167.0,119.0,102.0,41.0,57.0,134.0,中度,2013-04-11
高压开关厂 ,37.0,,108.0,89.0,38.0,,113.0,轻度,2013-04-10
高压开关厂 ,19.0,,90.0,79.0,42.0,65.0,85.0,良,2013-04-09
高压开关厂 ,36.0,165.0,159.0,87.0,35.0,55.0,112.0,中度,2013-04-08
高压开关厂 ,65.0,155.0,125.0,96.0,,,147.0,中度,2013-04-07
高压开关厂 ,40.0,97.0,96.0,77.0,,,93.0,良,2013-04-06
高压开关厂 ,30.0,,109.0,68.0,30.0,40.0,89.0,轻度,2013-04-05
高压开关厂 ,47.0,59.0,127.0,83.0,24.0,27.0,158.0,中度,2013-04-04
高压开关厂 ,62.0,79.0,134.0,91.0,54.0,68.0,179.0,中度,2013-04-03
高压开关厂 ,81.0,64.0,126.0,82.0,15.0,21.0,138.0,轻度,2013-04-02
高压开关厂 ,54.0,92.0,191.0,99.0,50.0,76.0,229.0,重度,2013-04-01
高压开关厂 ,46.0,59.0,147.0,87.0,41.0,44.0,237.0,重度,2013-03-31
高压开关厂 ,65.0,90.0,176.0,89.0,41.0,52.0,235.0,重度,2013-03-30
高压开关厂 ,54.0,65.0,146.0,80.0,30.0,40.0,198.0,中度,2013-03-29
高压开关厂 ,57.0,,143.0,101.0,40.0,50.0,150.0,轻度,2013-03-28
高压开关厂 ,52.0,94.0,140.0,99.0,37.0,44.0,148.0,轻度,2013-03-27
高压开关厂 ,44.0,,105.0,78.0,40.0,50.0,145.0,轻度,2013-03-26
高压开关厂 ,56.0,62.0,115.0,71.0,13.0,,133.0,轻度,2013-03-25
高压开关厂 ,43.0,,146.0,63.0,36.0,48.0,115.0,轻度,2013-03-24
高压开关厂 ,58.0,85.0,166.0,83.0,46.0,56.0,208.0,重度,2013-03-23
高压开关厂 ,58.0,101.0,143.0,85.0,32.0,38.0,208.0,重度,2013-03-22
高压开关厂 ,52.0,70.0,136.0,71.0,23.0,28.0,173.0,中度,2013-03-21
高压开关厂 ,42.0,53.0,148.0,59.0,32.0,44.0,114.0,轻度,2013-03-20
高压开关厂 ,57.0,,175.0,98.0,32.0,34.0,163.0,中度,2013-03-19
