日期,天气状况（白天/夜间）,气温（最高温/最低温）,风力风向（白天/夜间）
2011/1/1, 阴 /小雪, 3℃ / -4℃, 旋转风 微风 /东风 微风
2011/1/2, 小雪 /阴, 0℃ / -6℃, 旋转风 微风 /无持续风向 微风
2011/1/3, 阴 /多云, 0℃ / -5℃, 旋转风 微风 /无持续风向 微风
2011/1/4, 阴 /阴, 0℃ / -5℃, 旋转风 微风 /无持续风向 微风
2011/1/5, 雾 /多云, 0℃ / -6℃, 旋转风 微风 /无持续风向 微风
2011/1/6, 阴 /阴, -1℃ / -6℃, 旋转风 微风 /旋转风 微风
2011/1/7, 多云 /多云, 1℃ / -5℃, 旋转风 微风 /无持续风向 微风
2011/1/8, 多云 /多云, 0℃ / -6℃, 旋转风 微风 /无持续风向 微风
2011/1/9, 阴 /多云, 1℃ / -4℃, 旋转风 微风 /无持续风向 微风
2011/1/10, 多云 /晴, 1℃ / -5℃, 旋转风 微风 /无持续风向 微风
2011/1/11, 晴 /多云, 1℃ / -4℃, 旋转风 微风 /无持续风向 微风
2011/1/12, 多云 /多云, 4℃ / -4℃, 旋转风 微风 /无持续风向 微风
2011/1/13, 多云 /多云, 2℃ / -5℃, 旋转风 微风 /北风 3-4级
2011/1/14, 多云 /晴, 3℃ / -6℃, 旋转风 微风 /无持续风向 微风
2011/1/15, 晴 /多云, 1℃ / -6℃, 旋转风 微风 /无持续风向 微风
2011/1/16, 阴 /阴, 3℃ / -6℃, 旋转风 微风 /无持续风向 微风
2011/1/17, 阵雪 /阴, 0℃ / -5℃, 旋转风 微风 /无持续风向 微风
2011/1/18, 阴 /阴, 0℃ / -5℃, 旋转风 微风 /无持续风向 微风
2011/1/19, 阴 /阴, 0℃ / -4℃, 旋转风 微风 /无持续风向 微风
2011/1/20, 阴 /多云, 2℃ / -4℃, 旋转风 微风 /旋转风 微风
2011/1/21, 多云 /多云, 4℃ / -4℃, 旋转风 微风 /旋转风 微风
2011/1/22, 多云 /晴, 2℃ / -5℃, 旋转风 微风 /旋转风 微风
2011/1/23, 多云 /多云, 3℃ / -5℃, 旋转风 微风 /无持续风向 微风
2011/1/24, 晴 /多云, 4℃ / -5℃, 旋转风 微风 /无持续风向 微风
2011/1/25, 阴 /阴, 2℃ / -5℃, 旋转风 微风 /无持续风向 微风
2011/1/26, 小雪 /中雪, 2℃ / -3℃, 旋转风 微风 /无持续风向 微风
2011/1/27, 小到中雪 /小雪, 0℃ / -4℃, 旋转风 微风 /无持续风向 微风
